ts,u,i,label,idx
1369753.016085,9.0,11,u9.0_i11.0,213
1369754.070082,11.0,1,u11.0_i1.0,214
1369755.149102,1.0,4,u1.0_i4.0,215
1369756.219163,4.0,8,u4.0_i8.0,216
1369757.285223,8.0,10,u8.0_i10.0,217
1369758.341141,10.0,11,u10.0_i11.0,218
1369759.415197,11.0,3,u11.0_i3.0,219
1369760.486153,3.0,12,u3.0_i12.0,220
1369766.585072,12.0,11,u12.0_i11.0,221
1369767.66117,11.0,8,u11.0_i8.0,222
1369768.728135,8.0,5,u8.0_i5.0,223
1369769.818304,5.0,9,u5.0_i9.0,224
1369770.9205,9.0,1,u9.0_i1.0,225
1369772.011576,1.0,3,u1.0_i3.0,226
1369773.069496,3.0,4,u3.0_i4.0,227
1369774.129469,4.0,11,u4.0_i11.0,228
1369775.202557,11.0,2,u11.0_i2.0,229
1369776.273555,2.0,6,u2.0_i6.0,230
1369777.33659,6.0,10,u6.0_i10.0,231
1369778.415681,10.0,7,u10.0_i7.0,232
1369779.469626,7.0,12,u7.0_i12.0,233
1369785.553433,12.0,1,u12.0_i1.0,234
1369786.623557,1.0,9,u1.0_i9.0,235
1369787.702574,9.0,11,u9.0_i11.0,236
1369788.769529,11.0,2,u11.0_i2.0,237
1369789.843523,2.0,10,u2.0_i10.0,238
1369790.927513,10.0,8,u10.0_i8.0,239
1369791.992639,8.0,4,u8.0_i4.0,240
1369793.083667,4.0,7,u4.0_i7.0,241
1369794.154734,7.0,11,u7.0_i11.0,242
1369795.228739,11.0,3,u11.0_i3.0,243
1369796.311792,3.0,5,u3.0_i5.0,244
1369797.389776,5.0,6,u5.0_i6.0,245
1369798.432746,6.0,12,u6.0_i12.0,246
1369804.508547,12.0,4,u12.0_i4.0,247
1369805.562534,4.0,9,u4.0_i9.0,248
1369806.621476,9.0,8,u9.0_i8.0,249
1369807.700543,8.0,3,u8.0_i3.0,250
1369808.758451,3.0,2,u3.0_i2.0,251
1369809.828557,2.0,10,u2.0_i10.0,252
1369810.899541,10.0,1,u10.0_i1.0,253
1369811.98154,1.0,7,u1.0_i7.0,254
1369813.028477,7.0,11,u7.0_i11.0,255
1369814.099612,11.0,11,u11.0_i11.0,256
1369815.161544,11.0,5,u11.0_i5.0,257
1369816.23253,5.0,6,u5.0_i6.0,258
1369817.283494,6.0,12,u6.0_i12.0,259
