ts,u,i,label,idx
201194,4,1,u3_i0,387
201599,1,6,u0_i5,388
201923,6,1,u5_i0,389
202521,1,6,u0_i5,390
202844,6,1,u5_i0,391
203286,1,4,u0_i3,392
203612,4,1,u3_i0,393
203995,1,4,u0_i3,394
204318,4,1,u3_i0,395
204774,1,2,u0_i1,396
205098,2,1,u1_i0,397
205519,1,4,u0_i3,398
205843,4,1,u3_i0,399
206244,1,4,u0_i3,400
206564,4,1,u3_i0,401
207060,1,5,u0_i4,402
207383,5,1,u4_i0,403
207934,1,5,u0_i4,404
208253,5,1,u4_i0,405
208639,1,2,u0_i1,406
208963,2,1,u1_i0,407
209419,1,4,u0_i3,408
209743,4,1,u3_i0,409
210285,1,4,u0_i3,410
210605,4,1,u3_i0,411
211187,1,5,u0_i4,412
211510,5,1,u4_i0,413
212130,1,4,u0_i3,414
212453,4,1,u3_i0,415
212915,1,2,u0_i1,416
213241,2,1,u1_i0,417
213772,1,5,u0_i4,418
214099,5,1,u4_i0,419
214583,1,2,u0_i1,420
214907,2,1,u1_i0,421
215352,1,2,u0_i1,422
215672,2,1,u1_i0,423
216120,1,4,u0_i3,424
216443,4,1,u3_i0,425
216950,1,4,u0_i3,426
217270,4,1,u3_i0,427
217866,1,4,u0_i3,428
218186,4,1,u3_i0,429
218799,1,5,u0_i4,430
219123,5,1,u4_i0,431
219740,1,3,u0_i2,432
220063,3,1,u2_i0,433
220609,1,3,u0_i2,434
220929,3,1,u2_i0,435
221474,1,5,u0_i4,436
221798,5,1,u4_i0,437
222193,1,3,u0_i2,438
222516,3,1,u2_i0,439
222949,1,5,u0_i4,440
223277,5,1,u4_i0,441
223865,1,3,u0_i2,442
224189,3,1,u2_i0,443
224762,1,5,u0_i4,444
225086,5,1,u4_i0,445
225466,1,5,u0_i4,446
225788,5,1,u4_i0,447
226261,1,6,u0_i5,448
226584,6,1,u5_i0,449
226963,1,4,u0_i3,450
227286,4,1,u3_i0,451
227770,1,4,u0_i3,452
228089,4,1,u3_i0,453
228659,1,3,u0_i2,454
228983,3,1,u2_i0,455
229556,1,4,u0_i3,456
229880,4,1,u3_i0,457
230266,1,2,u0_i1,458
230593,2,1,u1_i0,459
231151,1,4,u0_i3,460
231475,4,1,u3_i0,461
231888,1,3,u0_i2,462
232212,3,1,u2_i0,463
232742,1,2,u0_i1,464
233066,2,1,u1_i0,465
233628,1,3,u0_i2,466
233951,3,1,u2_i0,467
234556,1,3,u0_i2,468
234876,3,1,u2_i0,469
235445,1,2,u0_i1,470
235769,2,1,u1_i0,471
236218,1,2,u0_i1,472
236537,2,1,u1_i0,473
237060,1,5,u0_i4,474
237384,5,1,u4_i0,475
237898,1,4,u0_i3,476
238222,4,1,u3_i0,477
238760,1,5,u0_i4,478
239084,5,1,u4_i0,479
239632,1,5,u0_i4,480
239954,5,1,u4_i0,481
240566,1,3,u0_i2,482
240890,3,1,u2_i0,483
241445,1,3,u0_i2,484
241768,3,1,u2_i0,485
242173,1,5,u0_i4,486
242497,5,1,u4_i0,487
242990,1,4,u0_i3,488
243316,4,1,u3_i0,489
243858,1,5,u0_i4,490
244182,5,1,u4_i0,491
244647,1,5,u0_i4,492
244970,5,1,u4_i0,493
245450,1,6,u0_i5,494
245773,6,1,u5_i0,495
246358,1,3,u0_i2,496
246682,3,1,u2_i0,497
247212,1,4,u0_i3,498
247536,4,1,u3_i0,499
248049,1,6,u0_i5,500
248374,6,1,u5_i0,501
248819,1,3,u0_i2,502
249143,3,1,u2_i0,503
249551,1,6,u0_i5,504
249876,6,1,u5_i0,505
250415,1,4,u0_i3,506
250742,4,1,u3_i0,507
251280,1,4,u0_i3,508
251600,4,1,u3_i0,509
252138,1,4,u0_i3,510
252458,4,1,u3_i0,511
253017,1,4,u0_i3,512
253335,4,1,u3_i0,513
253961,1,3,u0_i2,514
254283,3,1,u2_i0,515
254685,1,2,u0_i1,516
255008,2,1,u1_i0,517
255402,1,4,u0_i3,518
255726,4,1,u3_i0,519
256216,1,3,u0_i2,520
256541,3,1,u2_i0,521
257111,1,5,u0_i4,522
257435,5,1,u4_i0,523
258004,1,6,u0_i5,524
258328,6,1,u5_i0,525
258949,1,2,u0_i1,526
259276,2,1,u1_i0,527
259690,1,5,u0_i4,528
260012,5,1,u4_i0,529
260415,1,4,u0_i3,530
260738,4,1,u3_i0,531
261249,1,6,u0_i5,532
261572,6,1,u5_i0,533
262072,1,3,u0_i2,534
262396,3,1,u2_i0,535
262941,1,5,u0_i4,536
263265,5,1,u4_i0,537
263774,1,3,u0_i2,538
264100,3,1,u2_i0,539
264515,1,4,u0_i3,540
264841,4,1,u3_i0,541
265282,1,2,u0_i1,542
265606,2,1,u1_i0,543
266171,1,3,u0_i2,544
266495,3,1,u2_i0,545
266981,1,5,u0_i4,546
267305,5,1,u4_i0,547
267774,1,5,u0_i4,548
268094,5,1,u4_i0,549
268571,1,5,u0_i4,550
268894,5,1,u4_i0,551
269448,1,4,u0_i3,552
269771,4,1,u3_i0,553
270154,1,3,u0_i2,554
270477,3,1,u2_i0,555
270960,1,3,u0_i2,556
271280,3,1,u2_i0,557
271706,1,6,u0_i5,558
272029,6,1,u5_i0,559
272514,1,6,u0_i5,560
272836,6,1,u5_i0,561
273312,1,5,u0_i4,562
273636,5,1,u4_i0,563
274112,1,6,u0_i5,564
274435,6,1,u5_i0,565
275002,1,3,u0_i2,566
275325,3,1,u2_i0,567
275759,1,5,u0_i4,568
276085,5,1,u4_i0,569
276703,1,3,u0_i2,570
277029,3,1,u2_i0,571
277575,1,4,u0_i3,572
277899,4,1,u3_i0,573
278484,1,5,u0_i4,574
278808,5,1,u4_i0,575
279225,1,6,u0_i5,576
279549,6,1,u5_i0,577
280173,1,4,u0_i3,578
280496,4,1,u3_i0,579
281093,1,4,u0_i3,580
281413,4,1,u3_i0,581
281832,1,2,u0_i1,582
282154,2,1,u1_i0,583
282634,1,5,u0_i4,584
