Value,Consecutive Count,onset
0,1941,1088118
5,1288,1090059
0,1902,1091347
4,1296,1093249
0,1904,1094545
5,1294,1096449
0,2265,1097743
2,1293,1100008
0,1737,1101301
4,1305,1103038
0,2469,1104343
2,1306,1106812
0,2183,1108118
3,1296,1110301
0,2341,1111597
4,1294,1113938
0,1670,1115232
5,1295,1116902
0,2497,1118197
3,1293,1120694
0,2387,1121987
3,1279,1124374
0,1675,1125653
1,1290,1127328
0,1918,1128618
4,1295,1130536
0,2339,1131831
4,1280,1134170
0,1830,1135450
3,1290,1137280
0,1594,1138570
1,1309,1140164
0,1647,1141473
4,1301,1143120
0,1997,1144421
1,1295,1146418
0,1996,1147713
1,1280,1149709
0,1565,1150989
5,1305,1152554
0,2074,1153859
5,1280,1155933
0,2204,1157213
3,1307,1159417
0,2326,1160724
5,1293,1163050
0,2499,1164343
1,1293,1166842
0,2375,1168135
4,1307,1170510
0,2502,1171817
3,1304,1174319
0,1984,1175623
5,1292,1177607
0,1731,1178899
3,1311,1180630
0,2404,1181941
3,1278,1184345
0,2355,1185623
4,1296,1187978
0,2094,1189274
2,1307,1191368
0,2178,1192675
1,1300,1194853
0,2137,1196153
4,1296,1198290
0,2233,1199586
5,1292,1201819
0,2496,1203111
4,1296,1205607
0,2093,1206903
5,1292,1208996
0,2092,1210288
1,1294,1212380
0,1621,1213674
5,1295,1215295
0,1997,1216590
5,1280,1218587
0,1719,1219867
3,1292,1221586
0,2,1222878
91,120026,1222880
0,2141,1342906
1,1294,1345047
0,2124,1346341
2,1294,1348465
0,1560,1349759
3,1294,1351319
0,1703,1352613
1,1292,1354316
0,1716,1355608
1,1281,1357324
0,1703,1358605
1,1276,1360308
0,2138,1361584
2,1294,1363722
0,2048,1365016
4,1291,1367064
0,2012,1368355
3,1295,1370367
0,1960,1371662
1,1301,1373622
0,1997,1374923
5,1295,1376920
0,2386,1378215
2,1294,1380601
0,1721,1381895
3,1291,1383616
0,2152,1384907
3,1280,1387059
0,1717,1388339
5,1294,1390056
0,1593,1391350
1,1293,1392943
0,1656,1394236
1,1278,1395892
0,2122,1397170
3,1294,1399292
0,1564,1400586
5,1307,1402150
0,2241,1403457
4,1300,1405698
0,1576,1406998
5,1293,1408574
0,2449,1409867
5,1282,1412316
0,2371,1413598
4,1294,1415969
0,2027,1417263
1,1312,1419290
0,1908,1420602
1,1289,1422510
0,1545,1423799
5,1297,1425344
0,1809,1426641
2,1294,1428450
0,1843,1429744
3,1293,1431587
0,2161,1432880
1,1302,1435041
0,2355,1436343
3,1295,1438698
0,2366,1439993
2,1301,1442359
0,1949,1443660
1,1296,1445609
0,1687,1446905
4,1292,1448592
0,1840,1449884
5,1296,1451724
0,1632,1453020
5,1286,1454652
0,2046,1455938
4,1292,1457984
0,2512,1459276
2,1294,1461788
0,1922,1463082
3,1293,1465004
0,2276,1466297
5,1297,1468573
0,1606,1469870
1,1295,1471476
0,1872,1472771
1,1279,1474643
0,2031,1475922
2,1292,1477953
0,1689,1479245
2,1275,1480934
0,2418,1482209
4,1296,1484627
0,1983,1485923
5,1294,1487906
0,5150,1489200
3,1291,1494350
0,1687,1495641
3,1278,1497328
0,1808,1498606
1,1296,1500414
0,1716,1501710
5,1296,1503426
0,1581,1504722
2,1304,1506303
0,1561,1507607
3,1294,1509168
0,1532,1510462
5,1294,1511994
0,1703,1513288
1,1306,1514991
0,1810,1516297
3,1295,1518107
0,1607,1519402
5,1295,1521009
0,1842,1522304
2,1293,1524146
0,1576,1525439
2,1279,1527015
0,1560,1528294
3,1296,1529854
0,2273,1531150
4,1299,1533423
0,1591,1534722
1,1295,1536313
0,2279,1537608
5,1294,1539887
0,2042,1541181
1,1297,1543223
0,2338,1544520
2,1296,1546858
0,1794,1548154
4,1294,1549948
0,1523,1551242
1,1302,1552765
0,2168,1554067
4,1295,1556235
0,2038,1557530
4,1285,1559568
0,2215,1560853
4,1281,1563068
0,1796,1564349
4,1291,1566145
0,2061,1567436
2,1293,1569497
0,1576,1570790
4,1295,1572366
0,1840,1573661
4,1280,1575501
0,2252,1576781
1,1306,1579033
0,1637,1580339
3,1295,1581976
0,1998,1583271
5,1294,1585269
0,2312,1586563
4,1307,1588875
0,1565,1590182
1,1307,1591747
0,1600,1593054
4,1301,1594654
0,2454,1595955
