Target,Neibour,I,J,Value
2,6,3,6,1.1545556
9,8,2,5,1.151149
4,8,10,4,1.1508683
9,6,4,10,1.1491733
3,7,10,3,1.1456977
9,5,4,3,1.1441174
9,1,2,9,1.1428641
4,6,6,7,1.1408023
3,8,10,4,1.1334877
2,10,9,6,1.1268643
10,8,8,4,1.126703
4,6,3,6,1.1234051
8,5,1,9,1.1164649
9,4,2,2,1.1159587
3,2,10,6,1.112658
3,2,4,6,1.1081325
3,10,9,9,1.1055856
10,5,7,3,1.1049286
5,2,5,10,1.103492
6,4,6,7,1.1022077
7,4,6,5,1.1018316
9,1,1,2,1.0950301
5,1,3,8,1.0931168
1,2,3,9,1.0929092
8,10,6,8,1.0922276
6,2,4,6,1.0919719
2,6,1,2,1.089986
2,6,10,1,1.0878341
3,2,8,9,1.0814602
6,2,5,10,1.0807102
4,8,10,6,1.07994
9,8,10,6,1.0766209
7,2,1,1,1.073359
1,10,9,6,1.0711433
10,3,6,10,1.0638316
5,6,7,10,1.0582114
8,3,8,4,1.0581905
9,6,6,5,1.0570178
4,2,2,10,1.051625
3,2,6,9,1.0485294
2,10,5,5,1.0467858
10,3,5,1,1.0467222
10,6,10,1,1.046623
4,8,8,10,1.0407661
2,5,1,9,1.0405769
3,4,8,8,1.0399063
1,5,7,3,1.0368885
5,8,3,9,1.036805
6,2,6,9,1.0307969
8,5,7,3,1.0297186
1,8,4,10,1.0198957
4,6,3,4,1.0194646
7,8,10,6,1.0190278
9,9,8,1,1.0168808
1,4,6,7,1.0136384
2,9,10,10,1.0120244
5,2,2,6,1.0089447
5,2,8,9,1.0077919
10,3,8,6,1.0024216
9,8,7,5,1.0019265
5,8,10,6,1.0009857
8,6,7,10,0.99872774
3,5,7,3,0.9953292
4,1,9,4,0.9938539
4,6,6,9,0.99369496
6,8,8,4,0.99063414
6,2,4,10,0.9905994
10,4,5,8,0.98987913
5,10,4,1,0.9894448
8,2,5,10,0.98889685
9,7,1,7,0.98750883
4,1,7,9,0.9854857
2,5,4,3,0.9831231
5,5,3,4,0.9808765
2,9,5,5,0.9790851
2,3,8,6,0.97494656
1,5,9,8,0.9743423
7,10,4,1,0.97304887
5,6,1,2,0.9726543
5,3,5,1,0.9722478
7,5,7,3,0.9710369
5,1,4,1,0.970484
4,1,3,8,0.9644796
9,8,4,10,0.96089274
9,1,10,7,0.95944875
1,2,2,1,0.9578401
5,1,6,6,0.95761186
5,6,3,6,0.9549887
2,3,5,1,0.943978
6,2,1,1,0.94193137
7,5,5,1,0.94135034
3,1,1,2,0.93792903
10,5,9,8,0.93082464
9,6,10,9,0.9300013
10,2,6,9,0.92565614
5,1,1,4,0.9217655
1,8,8,10,0.9195308
9,2,3,8,0.9177382
5,4,6,7,0.91741514
9,1,6,7,0.91502196
4,10,9,6,0.91462016
3,8,4,10,0.91436374
7,6,10,1,0.9102058
5,1,4,5,0.9095066
6,5,9,8,0.9076852
5,9,4,4,0.9062473
7,2,4,6,0.9043368
4,10,4,6,0.9042257
7,6,6,4,0.9011502
3,1,10,7,0.8987061
2,2,10,4,0.89199245
8,2,2,10,0.89079547
3,5,9,8,0.88356274
3,1,5,8,0.8832325
1,5,2,6,0.87843424
7,9,5,5,0.8775741
9,9,9,3,0.877564
7,8,5,3,0.8757817
7,2,2,6,0.8756838
5,8,4,10,0.8756437
2,1,4,5,0.8727147
7,4,6,7,0.8724977
10,2,10,6,0.8717106
5,5,3,9,0.8655335
5,3,3,5,0.86509454
7,1,6,6,0.8631479
9,10,10,4,0.8603185
4,10,4,1,0.8577819
10,2,1,1,0.8556849
9,1,9,4,0.85203266
5,8,5,3,0.8434837
1,8,10,6,0.8431324
2,1,6,6,0.8424764
2,9,4,4,0.84170717
1,9,3,8,0.841098
10,2,2,6,0.8402118
10,5,4,3,0.8386105
6,9,3,8,0.8377541
8,10,9,6,0.834421
1,10,5,5,0.8332291
6,5,7,3,0.83171964
3,1,1,10,0.8297957
4,5,9,7,0.8286547
2,1,3,9,0.82844007
3,1,1,8,0.8256928
5,6,6,7,0.8246274
1,2,2,4,0.821144
10,8,8,10,0.819637
2,3,3,5,0.81850255
5,6,6,9,0.8138172
5,6,6,3,0.8137632
1,8,3,9,0.8102043
3,9,5,5,0.80746603
5,2,4,10,0.80256236
5,1,3,9,0.8012729
1,6,2,3,0.8011241
7,3,6,10,0.8008813
9,9,6,5,0.8008134
6,1,1,8,0.8004313
10,1,3,9,0.80031
6,5,4,10,0.79994243
9,10,6,5,0.79441935
3,2,3,9,0.7932362
2,5,5,4,0.7912133
8,2,10,6,0.7891911
5,7,1,8,0.78912497
7,10,9,6,0.7828394
1,9,5,5,0.78088856
1,9,4,4,0.7801069
7,3,3,9,0.77637047
3,2,5,10,0.776098
6,8,10,6,0.7736693
9,1,4,5,0.76987684
1,8,9,3,0.76932156
1,5,9,7,0.76921904
9,5,9,6,0.76474863
1,6,4,1,0.76391757
2,7,4,5,0.76092315
4,5,10,3,0.7603972
8,4,7,8,0.75559413
10,2,4,6,0.7555853
7,2,8,9,0.7522415
1,6,1,2,0.75108284
5,6,10,1,0.7452237
4,6,6,3,0.74492866
10,1,6,7,0.74478585
3,1,1,4,0.74385834
7,7,5,2,0.7367167
7,5,1,9,0.7345121
9,2,5,10,0.72966975
5,3,10,4,0.7292375
6,2,2,1,0.7282375
8,5,4,3,0.7266544
9,9,4,9,0.72417176
5,2,1,1,0.72123647
10,1,7,9,0.7185157
9,7,7,6,0.7161068
9,10,9,6,0.71297747
7,1,4,1,0.710531
5,8,9,3,0.708456
1,9,9,6,0.7073384
6,5,4,3,0.7067299
6,4,6,1,0.70602304
9,1,1,3,0.70489824
7,1,7,9,0.7045796
5,2,4,5,0.70372033
4,2,2,7,0.7015695
1,2,4,10,0.7005332
2,8,5,3,0.6993792
3,5,1,9,0.6972514
1,4,6,5,0.69648135
2,3,8,4,0.69551265
5,8,8,10,0.69237804
1,8,5,3,0.69213784
1,3,6,10,0.69003856
4,8,5,3,0.68780804
1,2,4,6,0.68769574
1,10,4,1,0.6865459
1,6,10,9,0.6849392
5,2,7,6,0.68364173
8,6,8,1,0.6835308
3,1,9,4,0.6834531
3,9,4,4,0.6804796
2,6,6,3,0.6803927
10,2,4,10,0.67672265
4,5,3,10,0.67630047
4,2,6,9,0.6758308
8,1,9,4,0.6751874
7,10,3,9,0.6744944
2,5,10,3,0.673436
10,9,5,5,0.6733126
6,8,4,10,0.67187464
7,5,9,8,0.67121774
6,4,5,8,0.6711954
7,10,4,6,0.67077774
6,2,7,6,0.66708297
9,9,1,4,0.66641635
9,10,10,9,0.6652788
7,3,2,2,0.6651372
8,4,9,8,0.66281086
6,8,5,3,0.6624597
7,10,7,2,0.6594504
7,7,5,1,0.65935713
4,2,10,6,0.6591796
4,5,9,8,0.6570145
1,5,3,8,0.656777
9,5,4,10,0.6552309
8,2,6,9,0.65504503
5,2,2,1,0.6509485
4,6,1,2,0.6465312
6,9,9,6,0.646462
9,5,6,6,0.645273
9,9,8,10,0.6433648
9,10,8,3,0.6406432
1,2,4,5,0.63964355
1,2,8,9,0.6388938
1,8,10,4,0.6380875
1,3,8,6,0.6364383
2,1,4,1,0.6350434
4,5,3,8,0.6310726
2,6,2,3,0.62825173
9,8,8,4,0.6267966
1,4,6,1,0.6252538
8,4,6,1,0.6250796
5,3,5,4,0.6238801
9,8,9,3,0.62315685
8,5,2,6,0.6222579
2,8,8,4,0.6220792
2,7,2,7,0.6215604
1,5,3,10,0.62130034
2,5,9,8,0.6206522
9,9,5,1,0.61994183
1,4,7,8,0.6197021
1,6,8,1,0.61923563
5,7,4,6,0.6182069
1,6,10,1,0.6181942
10,5,4,10,0.6153973
2,1,9,4,0.6150246
1,10,4,6,0.61488426
8,4,6,4,0.6129601
7,8,9,3,0.611856
2,10,4,6,0.6111952
6,5,2,6,0.610553
6,2,4,5,0.610413
6,1,4,1,0.6101281
8,5,4,10,0.6077902
6,1,3,8,0.6070727
6,1,6,7,0.6035704
2,3,8,3,0.60353774
3,1,6,6,0.6028086
5,2,6,9,0.60212475
3,2,4,10,0.59962666
7,10,5,5,0.59951633
1,3,1,10,0.5990917
4,5,2,6,0.5987329
2,3,5,10,0.59742796
8,6,3,6,0.59700567
1,2,7,6,0.5956636
9,10,4,6,0.595015
3,8,5,3,0.59323204
6,4,7,8,0.5905696
1,5,1,9,0.58393115
1,5,4,3,0.58289486
10,6,8,1,0.5813754
2,1,3,8,0.579082
9,7,8,9,0.57662606
10,7,2,5,0.57601905
9,1,7,9,0.5748977
3,5,4,3,0.57377356
4,10,3,9,0.5736668
10,8,4,10,0.57296073
8,9,5,5,0.57092386
6,4,6,5,0.57080865
1,2,6,9,0.56962323
3,8,10,6,0.56908303
1,4,5,8,0.5689078
7,3,3,6,0.56517184
5,7,4,5,0.563943
3,6,10,9,0.563707
9,2,6,9,0.5625347
8,8,10,5,0.560776
8,2,4,6,0.56045467
4,10,1,7,0.5577884
6,5,10,3,0.5561184
6,3,8,3,0.5529343
9,1,1,9,0.55209374
5,8,10,4,0.5498686
1,6,6,9,0.54980624
8,4,1,8,0.5490784
9,3,1,10,0.54798347
10,3,5,4,0.5467109
8,4,4,9,0.54616976
2,9,3,8,0.5420395
9,6,2,3,0.5415159
7,2,4,10,0.5413742
2,3,5,8,0.54109585
7,7,4,7,0.54042304
9,8,5,3,0.5401059
6,3,5,8,0.53730893
1,6,6,7,0.5357751
2,7,2,5,0.5352703
8,1,3,9,0.53408843
5,3,5,10,0.53364843
6,1,9,4,0.5321207
6,8,9,3,0.5310022
8,1,7,9,0.5305619
1,3,3,6,0.5297165
6,9,5,5,0.5290366
10,6,6,9,0.52889055
9,8,7,2,0.5282863
5,5,5,7,0.52519095
9,7,7,9,0.5226199
5,10,5,2,0.5221699
8,2,2,7,0.5217187
3,6,2,3,0.5204289
7,3,8,6,0.51967424
2,6,4,1,0.5186103
8,8,2,3,0.51508754
9,4,4,10,0.51505506
8,7,2,7,0.51445806
9,9,9,10,0.5109752
8,5,9,7,0.51017445
2,10,1,7,0.50993025
1,9,2,9,0.5091475
10,8,5,3,0.50813043
2,6,10,7,0.50776535
1,3,5,1,0.50712
1,5,5,4,0.5052556
8,4,6,5,0.5050276
2,5,3,10,0.50458145
4,8,4,10,0.50374734
9,10,4,1,0.5033363
8,1,6,7,0.5028026
