Target,Neibour,I,J,Value
8,7,1,1,42.884235
7,9,2,2,42.664616
5,4,7,7,42.6019
1,3,10,1,42.554657
6,4,5,5,42.544456
2,10,10,7,42.495617
8,8,8,4,42.28703
6,8,1,1,42.24275
1,1,1,2,42.240623
2,10,8,8,42.177788
4,5,9,9,42.0062
7,3,7,6,41.976788
8,6,5,10,41.753216
3,4,6,6,41.742275
1,5,3,3,41.728138
4,6,6,1,41.717884
10,1,5,5,41.687725
5,5,9,6,41.6156
5,8,1,1,41.599934
5,8,7,7,41.592422
10,3,10,10,41.45152
8,1,3,3,41.415974
8,6,6,5,41.19368
10,4,4,10,41.068867
1,1,1,10,41.060154
6,5,9,9,40.970085
7,10,2,2,40.960976
9,1,9,9,40.561398
1,1,1,4,40.46231
6,8,8,1,40.31003
3,3,6,10,40.286842
1,4,4,2,40.223915
6,2,10,10,39.994194
6,2,5,5,39.753983
3,3,1,10,39.74997
4,5,3,3,39.70489
1,1,5,8,39.663467
9,8,8,8,39.585648
3,5,1,1,39.557785
5,5,7,7,39.555935
4,5,1,1,39.537888
9,4,9,9,39.53216
4,10,7,7,39.388786
10,5,8,1,39.337093
7,10,10,1,38.9645
5,6,9,9,38.863083
4,6,8,8,38.75989
1,10,4,4,38.374146
5,4,6,6,38.345436
7,8,2,5,38.292194
7,4,4,2,38.262787
10,1,7,7,38.23391
1,7,6,6,38.233677
3,4,4,10,38.20895
8,4,9,9,38.18088
1,8,7,7,38.158962
8,6,4,10,38.094906
2,2,2,7,37.881676
2,10,2,2,37.823555
7,6,6,5,37.813854
1,6,10,10,37.63128
5,7,6,6,37.600075
2,6,1,1,37.592926
2,6,6,1,37.47854
8,4,5,5,37.324635
4,7,2,2,37.287476
1,5,8,8,37.244587
3,7,8,2,37.078335
7,8,8,1,37.00475
3,7,1,1,36.853443
2,1,3,3,36.75286
1,7,10,10,36.67833
7,5,3,3,36.647606
3,3,8,6,36.63683
7,10,10,6,36.56196
4,10,1,1,36.067818
5,4,2,2,35.973938
10,2,5,5,35.68405
2,8,7,7,35.66444
6,3,7,7,35.62953
6,6,2,2,35.590263
2,7,9,9,35.47334
8,5,5,2,35.301823
10,9,9,9,35.211884
1,3,7,6,35.159424
5,7,4,4,35.05788
6,7,1,1,34.84714
2,1,2,2,34.820972
6,9,9,9,34.811657
7,6,5,10,34.296673
3,4,4,5,34.28422
4,2,6,6,34.164505
6,10,10,7,34.09797
4,10,3,3,34.087696
10,5,5,2,34.039356
6,7,7,8,34.02571
3,8,8,6,34.021835
4,4,2,2,33.96889
4,7,8,2,33.961834
10,7,9,9,33.910744
10,6,6,1,33.777134
6,10,3,3,33.764355
1,6,5,10,33.71019
6,3,4,4,33.492622
1,2,3,3,33.450294
2,2,3,9,33.153675
3,3,5,1,33.035667
8,6,10,10,32.83398
7,1,10,10,32.73888
1,1,4,5,32.638245
7,6,4,10,32.577152
4,8,6,6,32.512913
4,2,3,8,32.419155
7,8,6,5,32.32169
6,10,7,7,32.232487
8,3,7,6,32.12422
7,8,8,2,32.11745
2,7,1,1,31.962175
5,8,8,6,31.943768
1,6,6,5,31.933815
8,5,8,1,31.928047
5,4,1,1,31.926067
4,5,2,2,31.867239
8,5,5,9,31.751326
4,10,10,6,31.546648
3,4,1,9,31.517561
10,4,1,9,31.461447
5,1,5,5,31.287758
10,8,2,2,31.220718
7,2,9,9,31.210953
6,6,6,9,31.190086
10,4,4,5,31.145508
10,1,1,3,31.140974
4,8,2,2,31.081951
4,6,7,8,31.046442
7,1,2,2,31.025524
5,3,3,4,31.025297
7,1,4,4,30.907846
10,1,3,3,30.86222
2,3,6,6,30.731007
2,2,10,6,30.674099
3,10,8,8,30.646852
10,7,7,6,30.63542
5,8,3,3,30.585514
4,2,2,3,30.578491
1,4,7,7,30.418217
6,2,8,6,30.289715
10,4,7,7,30.287954
1,6,4,10,30.119345
4,10,10,1,29.869053
2,3,10,1,29.758629
6,10,8,8,29.410604
10,4,4,6,29.288633
2,3,7,6,29.105429
7,5,9,9,29.059496
4,10,2,2,29.017237
1,10,3,3,28.989515
2,2,2,6,28.921171
1,3,6,6,28.875673
1,8,2,5,28.83919
2,4,1,9,28.816566
10,7,7,9,28.708324
1,3,1,1,28.509457
10,2,8,6,28.506035
1,3,4,4,28.29827
8,8,8,10,28.037365
6,6,3,6,28.02263
5,7,10,10,27.99026
2,8,1,1,27.966442
5,10,8,8,27.950447
9,5,5,5,27.81055
8,4,6,6,27.775923
1,1,1,8,27.73036
5,5,4,5,27.728819
10,1,2,2,27.666712
4,6,6,5,27.623796
6,4,4,2,27.554914
8,4,8,8,27.361977
8,10,6,6,27.317446
3,2,10,10,27.310268
10,5,9,9,27.283941
8,2,8,6,27.220564
4,4,4,7,27.159763
5,10,3,3,27.132038
2,8,8,6,27.025076
2,8,5,9,26.79409
4,1,10,10,26.773039
8,10,10,7,26.7715
4,7,1,1,26.749117
3,4,3,3,26.688162
5,7,2,2,26.666384
3,8,1,1,26.602732
7,2,10,10,26.599775
1,8,8,2,26.580397
8,7,9,9,26.497185
6,8,8,2,26.463833
6,1,5,5,26.301916
2,4,4,10,26.275816
10,3,3,4,26.104315
2,5,9,9,25.930805
3,7,2,2,25.894506
5,10,1,1,25.83976
6,8,8,9,25.8044
10,6,4,10,25.723495
7,5,2,2,25.638618
1,3,8,8,25.415081
8,9,6,6,25.411547
1,8,6,5,25.362555
1,9,2,2,25.242256
1,4,1,9,25.241915
6,3,1,1,25.17995
8,7,5,5,25.170134
8,5,5,10,25.162561
10,4,6,6,25.146982
9,10,10,10,25.116528
4,9,9,9,25.066137
10,3,6,6,25.047194
4,1,7,7,25.031885
8,1,10,10,24.98762
6,8,2,5,24.960577
1,4,6,6,24.865295
5,8,8,1,24.832523
1,8,8,1,24.824625
1,5,9,9,24.80468
4,5,5,9,24.79996
3,5,9,9,24.676682
3,1,5,5,24.42076
8,7,7,9,24.409155
4,6,5,10,24.393135
10,6,7,8,24.383064
8,2,6,6,24.34131
3,4,4,6,24.317717
6,10,1,1,24.18643
4,8,7,7,24.13999
3,6,3,3,24.134764
4,5,4,4,24.132584
5,3,7,7,24.04409
4,2,2,9,24.02179
5,10,10,1,24.00724
10,6,5,10,23.743189
4,6,4,10,23.61762
5,1,4,4,23.588926
1,2,6,6,23.587458
2,2,4,6,23.487045
6,7,7,6,23.408348
3,2,5,5,23.337196
4,1,2,2,23.252213
2,1,5,5,23.233168
3,8,8,1,23.06854
6,3,10,1,23.059643
5,6,10,10,23.028927
10,5,2,2,22.989603
6,8,8,3,22.974817
4,5,5,2,22.903246
6,8,6,5,22.835812
4,4,1,2,22.682138
10,6,6,5,22.605219
6,2,3,3,22.601904
2,4,6,6,22.469065
2,7,7,9,22.36347
1,10,10,1,22.31024
2,2,5,10,22.269215
8,7,7,6,22.215504
6,3,8,8,22.19384
6,6,6,7,22.16257
8,1,2,2,22.101175
1,4,4,10,22.078043
5,5,7,3,22.00807
7,4,1,9,22.002468
9,6,6,6,21.966484
10,7,3,3,21.916044
7,2,3,8,21.906637
5,1,3,3,21.851748
5,7,3,3,21.830084
5,6,1,7,21.808435
7,8,8,9,21.762327
8,1,1,3,21.715837
2,4,4,5,21.708221
4,8,1,1,21.670267
2,2,8,9,21.66008
1,4,3,3,21.636238
5,10,2,2,21.633022
3,2,8,6,21.562681
8,2,3,8,21.43459
5,8,5,9,21.390142
5,3,6,6,21.378191
1,10,10,6,21.27462
2,8,8,1,21.261074
8,2,2,3,20.903194
3,3,3,5,20.884035
1,4,4,6,20.869642
10,2,3,8,20.819551
8,6,1,7,20.639595
2,1,4,4,20.629028
10,8,7,7,20.53874
6,7,7,9,20.503056
2,10,3,3,20.469408
1,10,2,2,20.401443
8,5,2,2,20.396212
7,10,8,3,20.374283
3,4,5,3,20.359545
10,4,5,3,20.33211
3,2,2,3,20.223763
7,2,2,3,20.214529
10,8,1,1,20.209202
3,6,8,8,20.177849
9,2,2,2,20.16266
10,7,8,2,20.120651
2,4,4,6,20.05684
8,2,5,5,20.040802
7,10,10,9,20.023764
7,4,4,10,19.918184
5,3,1,1,19.896616
1,2,2,5,19.852732
3,10,6,6,19.755497
7,5,10,10,19.678728
3,10,1,1,19.576014
9,1,1,1,19.566387
3,9,9,9,19.537569
3,5,2,2,19.51912
6,6,6,3,19.433239
3,10,3,3,19.406815
6,9,6,6,19.404453
6,4,4,10,19.391554
1,5,4,4,19.386812
3,1,7,7,19.383919
10,4,2,2,19.3581
6,3,7,6,19.355085
8,3,1,1,19.313759
2,2,7,7,19.292578
1,2,10,10,19.19485
5,8,8,9,19.164448
8,4,2,2,19.136627
10,3,7,7,19.093292
3,4,9,6,19.067347
6,7,4,2,19.0434
8,8,4,10,19.040537
3,6,4,10,19.001434
10,4,9,6,18.968002
6,2,4,4,18.82692
3,4,5,2,18.779755
8,1,4,4,18.72039
7,6,3,3,18.69426
4,5,8,1,18.601473
1,4,4,5,18.56046
4,7,7,9,18.556244
8,10,1,1,18.554161
5,10,10,6,18.493284
5,3,5,5,18.492613
10,6,8,8,18.44663
8,9,2,2,18.398273
1,1,9,4,18.321218
8,8,3,9,18.262009
10,2,2,3,18.244934
2,7,7,6,18.220488
6,1,4,4,18.185255
7,10,6,5,18.183002
1,2,4,4,18.073568
5,3,4,4,18.005365
2,9,3,3,17.97582
7,5,5,9,17.86973
6,2,2,5,17.779572
8,8,9,3,17.765823
1,7,1,1,17.73263
6,6,10,9,17.676619
3,4,10,9,17.656254
1,8,8,9,17.548912
6,1,10,10,17.523758
3,8,8,2,17.422035
1,5,2,2,17.418541
7,4,4,5,17.381721
7,1,1,7,17.371742
2,2,1,1,17.365425
5,2,10,10,17.359167
5,1,10,10,17.339905
2,2,4,10,17.293633
7,6,1,7,17.285742
5,5,1,9,17.195185
2,1,7,7,17.173582
2,10,4,4,17.172504
8,10,3,3,17.090082
6,6,1,2,17.064564
2,10,1,1,16.992481
5,5,5,4,16.945702
7,10,10,4,16.869488
5,8,2,5,16.855324
2,7,8,9,16.847786
3,6,6,5,16.83879
8,2,2,9,16.836388
7,2,2,9,16.82286
3,2,3,8,16.793392
7,8,8,3,16.774443
5,6,2,2,16.769075
6,10,10,6,16.714022
6,5,2,2,16.712801
3,7,9,9,16.7044
9,9,7,7,16.678164
1,6,3,3,16.656862
7,4,4,6,16.645798
7,8,3,3,16.621628
5,6,3,3,16.561123
3,3,8,3,16.529812
