Target,Neibour,neibour_inverse,Neibour-start,start_inverse,Neibour-end,end_inverse,Score
7,0,0,-2,1,-2,0,128
8,0,1,-2,1,-2,1,127
4,-1,1,-1,0,-1,0,126
3,0,0,2,1,2,1,126
1,0,0,0,0,3,1,126
5,0,1,-1,0,-1,0,126
7,-3,1,1,1,1,1,125
7,1,1,-2,1,-2,1,124
4,0,1,-1,0,-1,0,124
1,0,1,0,1,0,1,123
4,-3,0,3,0,3,0,123
7,-2,1,1,1,3,1,122
10,4,0,-4,0,-4,0,122
3,1,1,-1,0,-1,0,122
7,0,0,-1,1,-1,0,121
5,-3,0,1,0,1,0,121
2,3,1,-1,0,-2,0,121
10,3,1,-3,0,-3,0,121
7,-1,0,2,1,-1,0,119
3,0,1,2,0,2,0,119
6,-4,1,2,0,2,0,119
2,-1,0,0,0,0,0,118
10,0,1,3,0,3,0,118
5,-2,1,-1,0,-1,0,118
10,1,1,3,1,3,1,118
2,2,0,-3,0,-3,0,117
8,-1,1,1,1,1,1,115
8,2,0,-2,0,-2,0,114
2,0,0,0,1,0,1,114
4,-2,0,3,0,3,0,113
1,3,0,-2,1,-2,1,113
7,-1,0,1,0,1,0,112
7,-1,1,-2,0,-2,0,112
5,0,0,-1,0,-1,0,112
3,1,0,-2,1,-2,1,111
6,-2,0,-1,0,-1,0,111
10,3,1,-2,1,-2,1,110
4,-2,0,-1,1,-1,1,110
7,-1,0,2,0,2,0,109
7,0,0,-2,0,1,0,108
10,1,1,1,1,1,1,106
2,0,0,3,1,3,1,105
3,-1,0,1,0,1,0,105
10,4,0,-1,0,-1,0,105
10,0,1,2,1,2,1,104
10,4,1,-4,0,-4,0,104
7,0,0,1,0,0,1,103
1,2,0,-2,1,-2,1,103
2,0,0,3,0,3,0,102
6,-1,0,-1,0,-1,0,102
5,0,1,-1,1,-1,1,102
7,0,1,-2,0,-2,0,102
5,0,0,0,0,-2,1,101
6,0,1,-2,0,-2,0,101
2,3,0,0,0,-4,1,100
5,0,1,-2,0,-2,0,99
1,0,0,0,1,0,1,99
6,0,0,-4,0,-4,0,98
3,2,1,0,0,-4,1,98
5,-2,1,2,1,2,1,98
4,-3,1,0,0,3,0,98
3,-1,0,1,1,1,1,97
10,4,1,-2,1,-2,1,97
3,2,1,-4,1,-4,1,97
5,-1,0,1,0,1,0,97
7,0,1,-3,0,-3,0,97
7,1,0,0,1,0,1,96
8,0,1,0,0,1,0,96
2,0,0,2,0,2,0,95
3,2,1,-1,0,-2,0,95
3,1,0,1,0,1,0,94
10,3,0,0,0,-1,0,92
1,3,0,1,0,1,0,92
7,-3,0,0,0,3,0,92
7,0,1,0,1,0,1,92
10,2,0,-1,0,-1,0,92
4,-1,0,-2,1,-2,0,91
1,2,1,-2,1,-2,1,91
5,-4,1,4,0,4,0,91
10,0,0,3,0,3,0,90
2,1,1,2,1,2,1,88
8,1,0,0,0,-1,0,88
7,0,0,-2,1,1,0,88
7,0,0,1,1,-2,0,88
5,-1,0,-3,1,-3,1,88
1,4,1,0,1,0,1,87
7,0,0,-3,0,-1,1,87
2,3,0,0,0,-3,0,87
8,0,0,0,1,0,1,86
2,3,1,0,1,0,1,86
1,2,1,2,0,2,0,86
2,1,0,-2,1,-2,1,86
7,1,0,-4,1,-4,1,85
4,-1,0,-1,1,-1,1,85
3,0,0,0,0,-1,1,84
8,1,0,0,1,-2,1,84
10,4,0,-2,1,-2,1,84
6,-4,0,4,0,4,0,84
10,3,1,1,0,1,0,83
4,-3,1,4,0,4,0,83
8,2,0,0,0,-4,1,83
8,2,0,-1,1,-1,1,83
6,-1,0,-3,0,-3,0,81
7,0,0,-3,1,-1,0,80
8,2,0,-4,1,-4,1,80
