Value,First Occurrence Position
1,"(1149709, 0)"
0,"(1150989, 0)"
5,"(1152554, 0)"
0,"(1153859, 0)"
5,"(1155933, 0)"
0,"(1157213, 0)"
3,"(1159417, 0)"
0,"(1160724, 0)"
5,"(1163050, 0)"
0,"(1164343, 0)"
1,"(1166842, 0)"
0,"(1168135, 0)"
4,"(1170510, 0)"
0,"(1171817, 0)"
3,"(1174319, 0)"
0,"(1175623, 0)"
5,"(1177607, 0)"
0,"(1178899, 0)"
3,"(1180630, 0)"
0,"(1181941, 0)"
3,"(1184345, 0)"
0,"(1185623, 0)"
4,"(1187978, 0)"
0,"(1189274, 0)"
2,"(1191368, 0)"
0,"(1192675, 0)"
1,"(1194853, 0)"
0,"(1196153, 0)"
4,"(1198290, 0)"
0,"(1199586, 0)"
5,"(1201819, 0)"
0,"(1203111, 0)"
4,"(1205607, 0)"
0,"(1206903, 0)"
5,"(1208996, 0)"
0,"(1210288, 0)"
1,"(1212380, 0)"
0,"(1213674, 0)"
5,"(1215295, 0)"
0,"(1216590, 0)"
5,"(1218587, 0)"
0,"(1219867, 0)"
3,"(1221586, 0)"
0,"(1222878, 0)"
91,"(1222880, 0)"
0,"(1342906, 0)"
1,"(1345047, 0)"
0,"(1346341, 0)"
2,"(1348465, 0)"
0,"(1349759, 0)"
3,"(1351319, 0)"
0,"(1352613, 0)"
1,"(1354316, 0)"
0,"(1355608, 0)"
1,"(1357324, 0)"
0,"(1358605, 0)"
1,"(1360308, 0)"
0,"(1361584, 0)"
2,"(1363722, 0)"
0,"(1365016, 0)"
4,"(1367064, 0)"
0,"(1368355, 0)"
3,"(1370367, 0)"
0,"(1371662, 0)"
1,"(1373622, 0)"
0,"(1374923, 0)"
5,"(1376920, 0)"
0,"(1378215, 0)"
2,"(1380601, 0)"
0,"(1381895, 0)"
3,"(1383616, 0)"
0,"(1384907, 0)"
3,"(1387059, 0)"
0,"(1388339, 0)"
5,"(1390056, 0)"
0,"(1391350, 0)"
1,"(1392943, 0)"
0,"(1394236, 0)"
1,"(1395892, 0)"
